Image,GT_Count,AI_Count,Matched_Count,FP_Count,FN_Count,GT_Area_px,AI_Area_px,GT_Area_um2,AI_Area_um2,Conf,Run
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,13,14,11,3,2,159417,193742,57492.3762,69871.3936,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,29,26,26,0,3,115646,109408,41706.7398,39457.0585,0.46,seg_small_optA_r560_acc16_lr1e4
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,38,40,33,7,5,191536,185319,69075.8186,66833.7107,0.46,seg_small_optA_r560_acc16_lr1e4
TP-B_001_jpg.rf.476ac40460a2659ffbad7973abf99d86.jpg,31,30,29,1,2,138802,148357,50057.753,53503.6819,0.46,seg_small_optA_r560_acc16_lr1e4
ROSILHA-M-G_017_jpg.rf.85fc7b8a7b63a2cbb64907a1c82d5d51.jpg,17,18,17,1,0,60626,58479,21864.2478,21089.9507,0.46,seg_small_optA_r560_acc16_lr1e4
TORDILHA-B_009_jpg.rf.5902113a7929ec9592dc2b09471de461.jpg,48,50,46,4,2,103220,109699,37225.4093,39562.0051,0.46,seg_small_optA_r560_acc16_lr1e4
ROSILHA-M-D_009_jpg.rf.b52035c8fe5fd87e1eed76dc4bbe6a14.jpg,26,27,25,2,1,199369,190828,71900.723,68820.4845,0.46,seg_small_optA_r560_acc16_lr1e4
TORDILHA-D_006_jpg.rf.d879d44ef1add0b327aa39f6650afc47.jpg,35,37,27,10,8,221012,207698,79706.0856,74904.5055,0.46,seg_small_optA_r560_acc16_lr1e4
ZAINA-679-B_011_jpg.rf.27d46a055eff6f5810ec4c5c9429b994.jpg,24,23,23,0,1,225756,222783,81416.9686,80344.7816,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-B_008_jpg.rf.92ad451b5359143319a46e599a0239d1.jpg,28,28,23,5,5,197356,232748,71174.7517,83938.5736,0.46,seg_small_optA_r560_acc16_lr1e4
ROSILHA-M-G_001_jpg.rf.3dab74a9f6c203f6aca8afc07a353bd2.jpg,18,22,18,4,0,66098,70096,23837.6778,25279.5222,0.46,seg_small_optA_r560_acc16_lr1e4
TORDILHA-B_010_jpg.rf.698124083a3806b10e86f6304c2b5ce1.jpg,31,33,30,3,1,144210,144427,52008.1019,52086.361,0.46,seg_small_optA_r560_acc16_lr1e4
TOSTADA-G_011_jpg.rf.c0b219a9a6742c565eddfcdb51541b7d.jpg,30,30,28,2,2,167675,160893,60470.5532,58024.6829,0.46,seg_small_optA_r560_acc16_lr1e4
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,20,22,16,6,4,185017,192728,66724.797,69505.7031,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_012_jpg.rf.b65fca463e4411032a599acd7494f06d.jpg,35,33,30,3,5,155830,159264,56198.7554,57437.1981,0.46,seg_small_optA_r560_acc16_lr1e4
TORDILHA-G_009_jpg.rf.b279af9f6892d54790621c0f5458daf3.jpg,37,35,33,2,4,148555,145305,53575.0889,52403.0042,0.46,seg_small_optA_r560_acc16_lr1e4
TP-G_010_jpg.rf.5c8b394cdec2d68bae00b4eb6679ec08.jpg,37,33,32,1,5,144333,122644,52052.4607,44230.5086,0.46,seg_small_optA_r560_acc16_lr1e4
TOSTADA-B_006_jpg.rf.fd9a20fd791843647a700cdeb77e0cc3.jpg,24,23,19,4,5,120160,90542,43334.6753,32653.1972,0.46,seg_small_optA_r560_acc16_lr1e4
TP-D_010_jpg.rf.8e807d0647c50bd1b8d28134da2e26a4.jpg,47,45,42,3,5,118911,115537,42884.2341,41667.4299,0.46,seg_small_optA_r560_acc16_lr1e4
TP-G_008_jpg.rf.7ce2f84776589571f8d07c60f1c4e63c.jpg,33,27,27,0,6,137098,135116,49443.2199,48728.4286,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-D_004_jpg.rf.02ed2d595bd7bc4d5f40bda7d3f8e5d2.jpg,35,33,32,1,3,160285,150828,57805.413,54394.8269,0.46,seg_small_optA_r560_acc16_lr1e4
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,44,42,40,2,4,175663,166909,63351.357,60194.3019,0.46,seg_small_optA_r560_acc16_lr1e4
TORDILHA-B_012_jpg.rf.0b5caafb1952d960be9aa54f5506bf96.jpg,41,45,39,6,2,131075,135503,47271.0766,48867.9969,0.46,seg_small_optA_r560_acc16_lr1e4
ROSILHA-M-D_006_jpg.rf.de71085683e9c7eb460be0f184fb31ac.jpg,39,36,34,2,5,133370,132290,48098.7486,47709.2559,0.46,seg_small_optA_r560_acc16_lr1e4
TOSTADA-B_003_jpg.rf.ef070508fe8cf028db79cd03961c37d8.jpg,26,27,23,4,3,107559,107440,38790.2325,38747.3162,0.46,seg_small_optA_r560_acc16_lr1e4
TORDILHA-D_001_jpg.rf.36e39c15aad81283f9bcc0f8afcd649f.jpg,24,24,20,4,4,216445,183744,78059.0362,66265.7005,0.46,seg_small_optA_r560_acc16_lr1e4
TOSTADA-G_009_jpg.rf.506f019d1e54427e5f81510789439725.jpg,42,40,39,1,3,180289,178926,65019.6843,64528.13,0.46,seg_small_optA_r560_acc16_lr1e4
